emp_no,first_name,last_name,title,hire_date,years
10001,Georgi,Facello,Senior Engineer,1986-06-26,36
10004,Chirstian,Koblick,Senior Engineer,1986-12-01,36
10005,Kyoichi,Maliniak,Senior Staff,1989-09-12,33
10006,Anneke,Preusig,Senior Engineer,1989-06-02,33
10009,Sumant,Peac,Senior Engineer,1985-02-18,37
10018,Kazuhide,Peha,Senior Engineer,1987-04-03,35
10019,Lillian,Haddadi,Staff,1999-04-30,23
10020,Mayuko,Warwick,Engineer,1991-01-26,31
10022,Shahaf,Famili,Engineer,1995-08-22,27
10023,Bojan,Montemayor,Engineer,1989-12-17,33
10026,Yongqiao,Berztiss,Senior Engineer,1995-03-20,27
10035,Alain,Chappelet,Senior Engineer,1988-09-05,34
10047,Zvonko,Nyanchama,Senior Engineer,1989-03-31,33
10051,Hidefumi,Caine,Senior Engineer,1992-10-15,30
10053,Sanjiv,Zschoche,Senior Staff,1986-02-04,36
10057,Ebbe,Callaway,Senior Engineer,1992-01-15,30
10058,Berhard,McFarlin,Senior Staff,1987-04-13,35
10059,Alejandro,McAlpine,Senior Staff,1991-06-26,31
10063,Gino,Leonhardt,Senior Engineer,1989-04-08,33
10066,Kwee,Schusler,Senior Engineer,1986-02-26,36
10067,Claudi,Stavenow,Senior Engineer,1987-03-04,35
10070,Reuven,Garigliano,Technique Leader,1985-10-14,37
10072,Hironoby,Sidou,Senior Engineer,1988-07-21,34
10074,Mokhtar,Bernatsky,Technique Leader,1990-08-13,32
10076,Erez,Ritzmann,Senior Engineer,1985-07-09,37
10088,Jungsoon,Syrzycki,Senior Staff,1988-09-02,34
10091,Amabile,Gomatam,Senior Engineer,1992-11-18,30
10096,Jayson,Mandell,Engineer,1990-01-14,32
10097,Remzi,Waschkowski,Senior Staff,1990-09-15,32
10100,Hironobu,Haraldson,Senior Staff,1987-09-21,35
10103,Akemi,Birch,Engineer,1986-12-02,36
10106,Eben,Aingworth,Senior Engineer,1990-12-19,32
10126,Kayoko,Valtorta,Senior Staff,1985-09-08,37
10127,Subir,Baja,Senior Engineer,1989-01-14,33
10129,Armond,Peir,Technique Leader,1985-12-10,37
10130,Nishit,Casperson,Senior Engineer,1988-06-21,34
10134,Diederik,Siprelle,Senior Engineer,1987-12-12,35
